Name,CreekID,Total_m,WBID,CLASS,WBIDLen_m
,MC03,3575.809114,1841,3F,863.3288699
,MC03,3575.809114,1797A,2,2712.480244
McMullen Creek,MC04,3921.930097,1841,3F,3891.061474
McMullen Creek,MC04,3921.930097,1797A,2,30.86862238
,MC05,3161.825166,1797A,2,3161.825166
Palmetto Creek,MC06,2749.340312,1797A,2,2749.340312
King Creek,MC07,1896.494371,1797A,2,1896.494371
Memphis Creek,MC08,2133.636575,1797A,2,2133.636575
,MC09,7326.511211,1848A,3M,5981.732371
,MC09,7326.511211,1797A,2,1344.778841
,MC10,4920.060272,1848B,3M,1741.908885
,MC10,4920.060272,1848A,3M,3178.151387
,MC11,8010.75318,1841,3F,888.9555353
,MC11,8010.75318,1848B,3M,7121.797645
,MC12,6060.938541,1848B,3M,89.86472856
,MC12,6060.938541,1850,3F,5971.073813
Mill Creek,MC13,41269.94046,1872A,3M,2513.225167
Mill Creek,MC13,41269.94046,1872B,3F,37162.81733
Mill Creek,MC13,41269.94046,1909,1,1557.958321
Mill Creek,MC13,41269.94046,1807F,3M,35.93964392
Gates Creek,MC14,16457.83804,1848B,3M,957.4574807
Gates Creek,MC14,16457.83804,1874,3F,15500.38056
,MC15,3164.85534,1848B,3M,3164.85534
,MC16,2348.756911,1848B,3M,2348.756911
,MC17,12328.1688,1848B,3M,10010.6926
,MC17,12328.1688,1875,3F,2317.476197
,MC19,5891.759973,1848B,3M,5891.759973
,MC20,1675.166378,1848B,3M,1675.166378
,MC21,3931.830628,1848B,3M,3547.289133
,MC21,3931.830628,1875,3F,384.5414951
,MC22,2174.79696,1848B,3M,1662.45395
,MC22,2174.79696,1875,3F,512.3430101
Cypress Strand,MC23,13824.9159,1876,3M,1224.51606
Cypress Strand,MC23,13824.9159,1848B,3M,716.8828779
Cypress Strand,MC23,13824.9159,1875,3F,11883.51696
,MC24,4416.639298,1848B,3M,3745.014527
,MC24,4416.639298,1875,3F,671.6247716
,MC26,791.6149334,1876,3M,791.6149334
,MC27,989.1844136,1876,3M,989.1844136
,MC28,4134.29781,1876,3M,4134.29781
